CFR EFCCE
20 0.853333
40 0.64
60 0.483333
80 0.424167
100 0.3175
120 0.339167
140 0.265833
160 0.2
180 0.221667
200 0.176667
220 0.175833
240 0.201667
260 0.160833
280 0.1175
300 0.158333
320 0.18
340 0.170833
360 0.118333
380 0.1325
400 0.120833
420 0.139167
440 0.109167
460 0.119167
480 0.1475
500 0.118333
520 0.106667
540 0.1175
560 0.133333
580 0.065
600 0.0933333
620 0.125
640 0.0833333
660 0.116667
680 0.0908333
700 0.0575
720 0.0691667
740 0.0683333
760 0.0516667
780 0.085
800 0.0566667
820 0.07
840 0.07
860 0.0791667
880 0.0816667
900 0.0625
920 0.0858333
940 0.0516667
960 0.0708333
980 0.0566667
1000 0.0608333
