EFR_CSPS EFCCE
20 0.83
40 0.5525
60 0.449167
80 0.311667
100 0.265
120 0.296667
140 0.226667
160 0.238333
180 0.1825
200 0.159167
220 0.16
240 0.169167
260 0.1225
280 0.189167
300 0.119167
320 0.11
340 0.144167
360 0.135
380 0.125833
400 0.0733333
420 0.0891667
440 0.075
460 0.0683333
480 0.0983333
500 0.0766667
520 0.06
540 0.065
560 0.0741667
580 0.045
600 0.0675
620 0.0658333
640 0.0508333
660 0.0908333
680 0.0791667
700 0.0558333
720 0.0725
740 0.0775
760 0.0733333
780 0.065
800 0.0691667
820 0.0733333
840 0.0591667
860 0.0358333
880 0.05
900 0.0375
920 0.0608333
940 0.0691667
960 0.0416667
980 0.0366667
1000 0.035
