EFR_TIPS EFCCE
20 0.765
40 0.730833
60 0.66
80 0.444167
100 0.336667
120 0.390833
140 0.295
160 0.220833
180 0.299167
200 0.284167
220 0.265833
240 0.245
260 0.19
280 0.194167
300 0.175833
320 0.166667
340 0.160833
360 0.120833
380 0.185
400 0.133333
420 0.159167
440 0.116667
460 0.1425
480 0.0975
500 0.1375
520 0.0983333
540 0.103333
560 0.0791667
580 0.0958333
600 0.130833
620 0.0766667
640 0.0641667
660 0.0633333
680 0.101667
700 0.0925
720 0.0816667
740 0.125833
760 0.1
780 0.121667
800 0.0808333
820 0.103333
840 0.0783333
860 0.0975
880 0.0958333
900 0.0641667
920 0.0683333
940 0.111667
960 0.0533333
980 0.0525
1000 0.0383333
