CFR_in EFCE
20 0.825833
40 0.561667
60 0.494167
80 0.390833
100 0.321667
120 0.255833
140 0.253333
160 0.244167
180 0.266667
200 0.199167
220 0.246667
240 0.185833
260 0.154167
280 0.178333
300 0.169167
320 0.159167
340 0.150833
360 0.138333
380 0.163333
400 0.169167
420 0.100833
440 0.108333
460 0.115
480 0.103333
500 0.1075
520 0.123333
540 0.116667
560 0.105833
580 0.1175
600 0.0925
620 0.116667
640 0.1075
660 0.0958333
680 0.106667
700 0.114167
720 0.085
740 0.0775
760 0.0933333
780 0.123333
800 0.0816667
820 0.105833
840 0.065
860 0.0883333
880 0.0891667
900 0.115
920 0.105
940 0.0983333
960 0.0883333
980 0.0858333
1000 0.0825
