EFR_CSPS EFCE
20 0.871667
40 0.620833
60 0.501667
80 0.386667
100 0.339167
120 0.279167
140 0.2975
160 0.169167
180 0.173333
200 0.198333
220 0.155
240 0.155
260 0.203333
280 0.175833
300 0.196667
320 0.145
340 0.146667
360 0.166667
380 0.123333
400 0.173333
420 0.1025
440 0.111667
460 0.110833
480 0.119167
500 0.0808333
520 0.0908333
540 0.065
560 0.08
580 0.0725
600 0.0983333
620 0.0816667
640 0.07
660 0.0575
680 0.0783333
700 0.0516667
720 0.1
740 0.0633333
760 0.0716667
780 0.0483333
800 0.0808333
820 0.075
840 0.065
860 0.0875
880 0.0908333
900 0.0683333
920 0.055
940 0.05
960 0.0975
980 0.05
1000 0.116667
