EFR_TIPS_in EFCE
20 0.8325
40 0.5875
60 0.483333
80 0.429167
100 0.385
120 0.284167
140 0.284167
160 0.230833
180 0.276667
200 0.159167
220 0.1925
240 0.183333
260 0.190833
280 0.198333
300 0.153333
320 0.145
340 0.179167
360 0.135
380 0.178333
400 0.165833
420 0.175
440 0.126667
460 0.140833
480 0.1425
500 0.16
520 0.168333
540 0.1425
560 0.17
580 0.148333
600 0.1275
620 0.124167
640 0.119167
660 0.0941667
680 0.105
700 0.0775
720 0.113333
740 0.0933333
760 0.0883333
780 0.0683333
800 0.0741667
820 0.095
840 0.0908333
860 0.0658333
880 0.0633333
900 0.0858333
920 0.0591667
940 0.0933333
960 0.0841667
980 0.0725
1000 0.0766667
